id,valeur_NO2,valeur_CO,valeur_O3,valeur_PM10,valeur_PM25,hour,dayofweek,month,dayofyear,is_weekend,is_holiday,temperature,relative_humidity,wind_speed,precipitation,wind_direction,shortwave_radiation
2020-01-01 00:00:00,42.9,0.718,15.7,73.1,64.4,0,2,1,1,0,1,0.8,100,3.6,0.0,135,0.0
2020-01-01 01:00:00,33.6,0.587,10.1,74.8,66.0,1,2,1,1,0,1,-0.2,99,2.5,0.0,82,0.0
2020-01-01 02:00:00,29.3,0.31490428174603186,5.1,51.0,44.9,2,2,1,1,0,1,2.5,98,3.7,0.0,119,0.0
2020-01-01 03:00:00,30.5,0.246,7.2,27.7,25.1,3,2,1,1,0,1,2.0,100,3.8,0.0,131,0.0
2020-01-01 04:00:00,29.3,0.204,8.3,15.3,13.6,4,2,1,1,0,1,1.8,100,4.9,0.0,163,0.0
2020-01-01 05:00:00,32.5,0.242,5.5,13.9,13.2,5,2,1,1,0,1,2.1,98,7.3,0.0,171,0.0
2020-01-01 06:00:00,30.9,0.254,4.0,18.9,17.4,6,2,1,1,0,1,2.0,99,8.0,0.0,175,0.0
2020-01-01 07:00:00,25.8,0.253,3.9,20.6,17.3,7,2,1,1,0,1,2.2,99,6.5,0.0,174,0.0
2020-01-01 08:00:00,22.1,0.28,4.9,18.6,17.1,8,2,1,1,0,1,2.3,100,6.1,0.0,135,0.0
2020-01-01 09:00:00,21.0,0.289,6.4,19.8,16.5,9,2,1,1,0,1,2.2,100,7.4,0.0,137,0.0
2020-01-01 10:00:00,20.8,0.302,8.1,19.1,17.1,10,2,1,1,0,1,2.2,99,9.2,0.0,141,0.0
2020-01-01 11:00:00,21.0,0.295,8.8,21.6,17.8,11,2,1,1,0,1,2.4,99,9.6,0.0,146,19.0
2020-01-01 12:00:00,24.6,0.308,7.9,24.7,21.7,12,2,1,1,0,1,2.6,98,10.8,0.0,143,47.0
2020-01-01 13:00:00,26.9,0.302,6.8,27.3,26.0,13,2,1,1,0,1,3.3,96,11.7,0.0,146,95.0
2020-01-01 14:00:00,26.3,0.279,7.1,27.5,23.3,14,2,1,1,0,1,3.4,94,8.2,0.0,151,113.0
2020-01-01 15:00:00,30.1,0.317,5.3,25.6,22.3,15,2,1,1,0,1,3.8,94,8.7,0.0,142,61.0
2020-01-01 16:00:00,30.5,0.32,3.8,26.3,23.1,16,2,1,1,0,1,4.1,94,9.4,0.0,133,63.0
2020-01-01 17:00:00,30.9,0.331,4.0,23.2,19.8,17,2,1,1,0,1,4.3,95,10.2,0.0,132,35.0
2020-01-01 18:00:00,30.5,0.367,4.8,25.1,20.8,18,2,1,1,0,1,4.2,96,10.1,0.0,125,6.0
2020-01-01 19:00:00,30.7,0.38,4.6,28.0,21.6,19,2,1,1,0,1,4.3,96,9.6,0.1,124,0.0
2020-01-01 20:00:00,28.2,0.348,4.8,25.9,22.8,20,2,1,1,0,1,4.4,97,9.7,0.1,129,0.0
2020-01-01 21:00:00,27.3,0.32,3.9,23.5,20.6,21,2,1,1,0,1,4.7,97,9.4,0.1,133,0.0
2020-01-01 22:00:00,26.3,0.309,3.9,22.0,21.3,22,2,1,1,0,1,5.0,97,9.2,0.1,132,0.0
2020-01-01 23:00:00,24.1,0.315,3.4,21.7,21.5,23,2,1,1,0,1,5.3,98,9.2,0.0,138,0.0
2020-01-02 00:00:00,21.6,0.309,3.2,20.7,16.8,0,3,1,2,0,0,5.6,98,9.6,0.1,146,0.0
2020-01-02 01:00:00,21.3,0.31,3.4,18.5,16.0,1,3,1,2,0,0,5.8,98,10.4,0.2,146,0.0
2020-01-02 02:00:00,21.0,0.33632847673782157,3.7,16.8,16.3,2,3,1,2,0,0,5.1,98,7.4,0.1,166,0.0
2020-01-02 03:00:00,21.3,0.302,3.7,15.0,14.3,3,3,1,2,0,0,5.2,98,7.1,0.1,165,0.0
2020-01-02 04:00:00,23.5,0.305,2.5,15.6,12.4,4,3,1,2,0,0,5.4,98,7.9,0.2,156,0.0
2020-01-02 05:00:00,27.4,0.332,2.1,15.1,12.8,5,3,1,2,0,0,5.7,98,8.4,0.2,155,0.0
2020-01-02 06:00:00,29.8,0.335,1.9,17.7,14.1,6,3,1,2,0,0,5.8,98,8.1,0.2,159,0.0
2020-01-02 07:00:00,37.2,0.434,2.5,17.3,13.6,7,3,1,2,0,0,5.9,98,6.4,0.3,164,0.0
2020-01-02 08:00:00,39.8,0.465,3.0,19.8,13.4,8,3,1,2,0,0,6.1,98,7.6,0.1,180,0.0
2020-01-02 09:00:00,44.2,0.474,4.9,22.6,15.9,9,3,1,2,0,0,6.3,97,9.2,0.0,201,0.0
2020-01-02 10:00:00,44.9,0.346,9.4,23.8,15.4,10,3,1,2,0,0,6.5,97,9.7,0.0,211,0.0
2020-01-02 11:00:00,38.9,0.277,15.1,19.7,13.9,11,3,1,2,0,0,7.0,94,10.5,0.0,211,26.0
2020-01-02 12:00:00,39.3,0.28,17.6,17.1,12.8,12,3,1,2,0,0,7.7,92,10.2,0.0,198,79.0
2020-01-02 13:00:00,41.1,0.272,19.1,21.0,10.8,13,3,1,2,0,0,8.2,90,12.5,0.0,198,120.0
2020-01-02 14:00:00,42.2,0.255,21.7,16.6,10.1,14,3,1,2,0,0,9.1,88,12.2,0.0,214,152.0
2020-01-02 15:00:00,46.0,0.239,19.9,18.6,9.7,15,3,1,2,0,0,9.2,90,12.4,0.0,206,91.0
2020-01-02 16:00:00,52.3,0.269,13.4,13.4,8.0,16,3,1,2,0,0,9.1,91,12.8,0.0,196,76.0
2020-01-02 17:00:00,55.1,0.309,8.9,16.2,9.5,17,3,1,2,0,0,8.7,94,13.5,0.0,196,38.0
2020-01-02 18:00:00,44.5,0.283,12.9,20.1,12.7,18,3,1,2,0,0,8.6,94,12.6,0.0,200,19.0
2020-01-02 19:00:00,45.7,0.286,9.9,24.3,17.7,19,3,1,2,0,0,8.5,94,14.0,0.0,198,0.0
2020-01-02 20:00:00,37.8,0.25,16.8,26.6,16.6,20,3,1,2,0,0,8.1,93,14.0,0.0,198,0.0
2020-01-02 21:00:00,27.1,0.214,30.1,20.9,13.9,21,3,1,2,0,0,8.4,94,14.8,0.0,193,0.0
2020-01-02 22:00:00,21.8,0.211,36.8,17.3,12.2,22,3,1,2,0,0,9.0,94,17.7,0.0,200,0.0
